DATE,REAINTRATREARAT10Y
2019/4/1,0.42030375
2019/5/1,0.5404288
2019/6/1,0.42130162
2019/7/1,0.44057188
2019/8/1,0.42005179
2019/9/1,0.23500552
2019/10/1,0.36832453
2019/11/1,0.43361185
2019/12/1,0.51426493
2020/1/1,0.50509631
2020/2/1,0.31598579
2020/3/1,-0.12783745
2020/4/1,-0.11159442
2020/5/1,-0.02785652
2020/6/1,-0.15369936
2020/7/1,-0.3453445
2020/8/1,-0.407134
2020/9/1,-0.34333693
2020/10/1,-0.29173845
2020/11/1,-0.21395564
2020/12/1,-0.23232146
2021/1/1,-0.23501721
2021/2/1,-0.2308238
2021/3/1,0.01250687
2021/4/1,0.11804694
2021/5/1,0.03694758
2021/6/1,-0.00566485
2021/7/1,0.03504108
2021/8/1,-0.26101879
2021/9/1,-0.19473087
2021/10/1,0.08790114
2021/11/1,0.16399788
2021/12/1,0.09168917
2022/1/1,0.3194951
2022/2/1,0.44159289
2022/3/1,0.34708992
2022/4/1,0.94940027
2022/5/1,1.20389776
2022/6/1,1.02509351
2022/7/1,1.06217493
2022/8/1,0.8556253
2022/9/1,1.20424868
2022/10/1,1.79733203
2022/11/1,1.93071305
2022/12/1,1.57612515
